dataset,ratio,max_data_num,predict_data_num,k,delta,metric,value
FLAN,8,204800,1638400,3,1,PearCorr,0.945
FLAN,16,102400,1638400,3,1,PearCorr,0.8413
FLAN,32,51200,1638400,3,1,PearCorr,0.7422
FLAN,64,25600,1638400,3,1,PearCorr,0.6104
FLAN,128,12800,1638400,3,1,PearCorr,0.5654
FLAN,256,6400,1638400,3,1,PearCorr,0.4957
FLAN,512,3200,1638400,3,1,PearCorr,0.4559
FLAN,8,204800,1638400,3,2,PearCorr,0.9448
FLAN,16,102400,1638400,3,2,PearCorr,0.8382
FLAN,32,51200,1638400,3,2,PearCorr,0.7394
FLAN,64,25600,1638400,3,2,PearCorr,0.6077
FLAN,128,12800,1638400,3,2,PearCorr,0.5662
FLAN,256,6400,1638400,3,2,PearCorr,0.4977
FLAN,512,3200,1638400,3,2,PearCorr,0.4543
FLAN,8,204800,1638400,3,3,PearCorr,0.93
FLAN,16,102400,1638400,3,3,PearCorr,0.8187
FLAN,32,51200,1638400,3,3,PearCorr,0.7345
FLAN,64,25600,1638400,3,3,PearCorr,0.6239
FLAN,128,12800,1638400,3,3,PearCorr,0.5468
FLAN,256,6400,1638400,3,3,PearCorr,0.4973
FLAN,512,3200,1638400,3,3,PearCorr,0.4552
FLAN,8,204800,1638400,3,4,PearCorr,0.909
FLAN,16,102400,1638400,3,4,PearCorr,0.8177
FLAN,32,51200,1638400,3,4,PearCorr,0.6816
FLAN,64,25600,1638400,3,4,PearCorr,0.6181
FLAN,128,12800,1638400,3,4,PearCorr,0.549
FLAN,256,6400,1638400,3,4,PearCorr,0.5056
FLAN,512,3200,1638400,3,4,PearCorr,0.4556
FLAN,8,204800,1638400,3,5,PearCorr,0.9087
FLAN,16,102400,1638400,3,5,PearCorr,0.7312
FLAN,32,51200,1638400,3,5,PearCorr,0.6553
FLAN,64,25600,1638400,3,5,PearCorr,0.6113
FLAN,128,12800,1638400,3,5,PearCorr,0.5218
FLAN,256,6400,1638400,3,5,PearCorr,0.5054
FLAN,512,3200,1638400,3,5,PearCorr,0.4556
FLAN,8,204800,1638400,4,1,PearCorr,0.914
FLAN,16,102400,1638400,4,1,PearCorr,0.8088
FLAN,32,51200,1638400,4,1,PearCorr,0.6949
FLAN,64,25600,1638400,4,1,PearCorr,0.6075
FLAN,128,12800,1638400,4,1,PearCorr,0.5372
FLAN,256,6400,1638400,4,1,PearCorr,0.4883
FLAN,512,3200,1638400,4,1,PearCorr,0.4221
FLAN,8,204800,1638400,4,2,PearCorr,0.914
FLAN,16,102400,1638400,4,2,PearCorr,0.8067
FLAN,32,51200,1638400,4,2,PearCorr,0.6908
FLAN,64,25600,1638400,4,2,PearCorr,0.6127
FLAN,128,12800,1638400,4,2,PearCorr,0.5356
FLAN,256,6400,1638400,4,2,PearCorr,0.4859
FLAN,512,3200,1638400,4,2,PearCorr,0.4221
FLAN,8,204800,1638400,4,3,PearCorr,0.8971
FLAN,16,102400,1638400,4,3,PearCorr,0.7895
FLAN,32,51200,1638400,4,3,PearCorr,0.6789
FLAN,64,25600,1638400,4,3,PearCorr,0.6084
FLAN,128,12800,1638400,4,3,PearCorr,0.5239
FLAN,256,6400,1638400,4,3,PearCorr,0.4858
FLAN,512,3200,1638400,4,3,PearCorr,0.4221
FLAN,8,204800,1638400,4,4,PearCorr,0.8461
FLAN,16,102400,1638400,4,4,PearCorr,0.6899
FLAN,32,51200,1638400,4,4,PearCorr,0.627
FLAN,64,25600,1638400,4,4,PearCorr,0.5609
FLAN,128,12800,1638400,4,4,PearCorr,0.5212
FLAN,256,6400,1638400,4,4,PearCorr,0.4868
FLAN,512,3200,1638400,4,4,PearCorr,0.4221
FLAN,8,204800,1638400,4,5,PearCorr,0.7945
FLAN,16,102400,1638400,4,5,PearCorr,0.6169
FLAN,32,51200,1638400,4,5,PearCorr,0.5826
FLAN,64,25600,1638400,4,5,PearCorr,0.5531
FLAN,128,12800,1638400,4,5,PearCorr,0.5089
FLAN,256,6400,1638400,4,5,PearCorr,0.4867
FLAN,512,3200,1638400,4,5,PearCorr,0.4221
FLAN,8,204800,1638400,5,1,PearCorr,0.8844
FLAN,16,102400,1638400,5,1,PearCorr,0.7699
FLAN,32,51200,1638400,5,1,PearCorr,0.6718
FLAN,64,25600,1638400,5,1,PearCorr,0.5783
FLAN,128,12800,1638400,5,1,PearCorr,0.5212
FLAN,256,6400,1638400,5,1,PearCorr,0.461
FLAN,512,3200,1638400,5,1,PearCorr,0.3784
FLAN,8,204800,1638400,5,2,PearCorr,0.884
FLAN,16,102400,1638400,5,2,PearCorr,0.7676
FLAN,32,51200,1638400,5,2,PearCorr,0.6673
FLAN,64,25600,1638400,5,2,PearCorr,0.573
FLAN,128,12800,1638400,5,2,PearCorr,0.5159
FLAN,256,6400,1638400,5,2,PearCorr,0.461
FLAN,512,3200,1638400,5,2,PearCorr,0.3784
FLAN,8,204800,1638400,5,3,PearCorr,0.866
FLAN,16,102400,1638400,5,3,PearCorr,0.73
FLAN,32,51200,1638400,5,3,PearCorr,0.648
FLAN,64,25600,1638400,5,3,PearCorr,0.5515
FLAN,128,12800,1638400,5,3,PearCorr,0.5058
FLAN,256,6400,1638400,5,3,PearCorr,0.461
FLAN,512,3200,1638400,5,3,PearCorr,0.3784
FLAN,8,204800,1638400,5,4,PearCorr,0.7517
FLAN,16,102400,1638400,5,4,PearCorr,0.6152
FLAN,32,51200,1638400,5,4,PearCorr,0.6063
FLAN,64,25600,1638400,5,4,PearCorr,0.539
FLAN,128,12800,1638400,5,4,PearCorr,0.5054
FLAN,256,6400,1638400,5,4,PearCorr,0.461
FLAN,512,3200,1638400,5,4,PearCorr,0.3784
FLAN,8,204800,1638400,5,5,PearCorr,0.6811
FLAN,16,102400,1638400,5,5,PearCorr,0.5877
FLAN,32,51200,1638400,5,5,PearCorr,0.5846
FLAN,64,25600,1638400,5,5,PearCorr,0.537
FLAN,128,12800,1638400,5,5,PearCorr,0.5047
FLAN,256,6400,1638400,5,5,PearCorr,0.461
FLAN,512,3200,1638400,5,5,PearCorr,0.3784
WMT19,8,204800,1638400,3,1,PearCorr,0.9899
WMT19,16,102400,1638400,3,1,PearCorr,0.9841
WMT19,32,51200,1638400,3,1,PearCorr,0.9802
WMT19,64,25600,1638400,3,1,PearCorr,0.9379
WMT19,128,12800,1638400,3,1,PearCorr,0.8319
WMT19,256,6400,1638400,3,1,PearCorr,0.742
WMT19,512,3200,1638400,3,1,PearCorr,0.6295
WMT19,8,204800,1638400,3,2,PearCorr,0.9893
WMT19,16,102400,1638400,3,2,PearCorr,0.9842
WMT19,32,51200,1638400,3,2,PearCorr,0.9803
WMT19,64,25600,1638400,3,2,PearCorr,0.9378
WMT19,128,12800,1638400,3,2,PearCorr,0.8309
WMT19,256,6400,1638400,3,2,PearCorr,0.7437
WMT19,512,3200,1638400,3,2,PearCorr,0.6263
WMT19,8,204800,1638400,3,3,PearCorr,0.9898
WMT19,16,102400,1638400,3,3,PearCorr,0.9839
WMT19,32,51200,1638400,3,3,PearCorr,0.9801
WMT19,64,25600,1638400,3,3,PearCorr,0.8881
WMT19,128,12800,1638400,3,3,PearCorr,0.8175
WMT19,256,6400,1638400,3,3,PearCorr,0.7422
WMT19,512,3200,1638400,3,3,PearCorr,0.6287
WMT19,8,204800,1638400,3,4,PearCorr,0.9896
WMT19,16,102400,1638400,3,4,PearCorr,0.9835
WMT19,32,51200,1638400,3,4,PearCorr,0.9804
WMT19,64,25600,1638400,3,4,PearCorr,0.8883
WMT19,128,12800,1638400,3,4,PearCorr,0.8095
WMT19,256,6400,1638400,3,4,PearCorr,0.7311
WMT19,512,3200,1638400,3,4,PearCorr,0.6242
WMT19,8,204800,1638400,3,5,PearCorr,0.9891
WMT19,16,102400,1638400,3,5,PearCorr,0.9705
WMT19,32,51200,1638400,3,5,PearCorr,0.9768
WMT19,64,25600,1638400,3,5,PearCorr,0.8596
WMT19,128,12800,1638400,3,5,PearCorr,0.7802
WMT19,256,6400,1638400,3,5,PearCorr,0.7339
WMT19,512,3200,1638400,3,5,PearCorr,0.6145
WMT19,8,204800,1638400,4,1,PearCorr,0.9897
WMT19,16,102400,1638400,4,1,PearCorr,0.9847
WMT19,32,51200,1638400,4,1,PearCorr,0.9702
WMT19,64,25600,1638400,4,1,PearCorr,0.9161
WMT19,128,12800,1638400,4,1,PearCorr,0.8117
WMT19,256,6400,1638400,4,1,PearCorr,0.6983
WMT19,512,3200,1638400,4,1,PearCorr,0.5915
WMT19,8,204800,1638400,4,2,PearCorr,0.9894
WMT19,16,102400,1638400,4,2,PearCorr,0.9846
WMT19,32,51200,1638400,4,2,PearCorr,0.9703
WMT19,64,25600,1638400,4,2,PearCorr,0.8973
WMT19,128,12800,1638400,4,2,PearCorr,0.8012
WMT19,256,6400,1638400,4,2,PearCorr,0.6965
WMT19,512,3200,1638400,4,2,PearCorr,0.5915
WMT19,8,204800,1638400,4,3,PearCorr,0.9897
WMT19,16,102400,1638400,4,3,PearCorr,0.986
WMT19,32,51200,1638400,4,3,PearCorr,0.9719
WMT19,64,25600,1638400,4,3,PearCorr,0.866
WMT19,128,12800,1638400,4,3,PearCorr,0.7922
WMT19,256,6400,1638400,4,3,PearCorr,0.6887
WMT19,512,3200,1638400,4,3,PearCorr,0.5915
WMT19,8,204800,1638400,4,4,PearCorr,0.9892
WMT19,16,102400,1638400,4,4,PearCorr,0.9856
WMT19,32,51200,1638400,4,4,PearCorr,0.9417
WMT19,64,25600,1638400,4,4,PearCorr,0.8291
WMT19,128,12800,1638400,4,4,PearCorr,0.7668
WMT19,256,6400,1638400,4,4,PearCorr,0.6829
WMT19,512,3200,1638400,4,4,PearCorr,0.5915
WMT19,8,204800,1638400,4,5,PearCorr,0.987
WMT19,16,102400,1638400,4,5,PearCorr,0.9731
WMT19,32,51200,1638400,4,5,PearCorr,0.8978
WMT19,64,25600,1638400,4,5,PearCorr,0.825
WMT19,128,12800,1638400,4,5,PearCorr,0.7481
WMT19,256,6400,1638400,4,5,PearCorr,0.6808
WMT19,512,3200,1638400,4,5,PearCorr,0.5915
WMT19,8,204800,1638400,5,1,PearCorr,0.9886
WMT19,16,102400,1638400,5,1,PearCorr,0.9797
WMT19,32,51200,1638400,5,1,PearCorr,0.9571
WMT19,64,25600,1638400,5,1,PearCorr,0.8887
WMT19,128,12800,1638400,5,1,PearCorr,0.7723
WMT19,256,6400,1638400,5,1,PearCorr,0.6636
WMT19,512,3200,1638400,5,1,PearCorr,0.5498
WMT19,8,204800,1638400,5,2,PearCorr,0.9885
WMT19,16,102400,1638400,5,2,PearCorr,0.98
WMT19,32,51200,1638400,5,2,PearCorr,0.9572
WMT19,64,25600,1638400,5,2,PearCorr,0.8849
WMT19,128,12800,1638400,5,2,PearCorr,0.7694
WMT19,256,6400,1638400,5,2,PearCorr,0.6636
WMT19,512,3200,1638400,5,2,PearCorr,0.5498
WMT19,8,204800,1638400,5,3,PearCorr,0.989
WMT19,16,102400,1638400,5,3,PearCorr,0.9814
WMT19,32,51200,1638400,5,3,PearCorr,0.9244
WMT19,64,25600,1638400,5,3,PearCorr,0.8461
WMT19,128,12800,1638400,5,3,PearCorr,0.7601
WMT19,256,6400,1638400,5,3,PearCorr,0.6636
WMT19,512,3200,1638400,5,3,PearCorr,0.5498
WMT19,8,204800,1638400,5,4,PearCorr,0.9886
WMT19,16,102400,1638400,5,4,PearCorr,0.9816
WMT19,32,51200,1638400,5,4,PearCorr,0.89
WMT19,64,25600,1638400,5,4,PearCorr,0.8258
WMT19,128,12800,1638400,5,4,PearCorr,0.7472
WMT19,256,6400,1638400,5,4,PearCorr,0.6636
WMT19,512,3200,1638400,5,4,PearCorr,0.5498
WMT19,8,204800,1638400,5,5,PearCorr,0.9865
WMT19,16,102400,1638400,5,5,PearCorr,0.9261
WMT19,32,51200,1638400,5,5,PearCorr,0.8842
WMT19,64,25600,1638400,5,5,PearCorr,0.8198
WMT19,128,12800,1638400,5,5,PearCorr,0.7438
WMT19,256,6400,1638400,5,5,PearCorr,0.6636
WMT19,512,3200,1638400,5,5,PearCorr,0.5498
GIGAWORD,8,204800,1638400,3,1,PearCorr,0.9918
GIGAWORD,16,102400,1638400,3,1,PearCorr,0.9818
GIGAWORD,32,51200,1638400,3,1,PearCorr,0.9705
GIGAWORD,64,25600,1638400,3,1,PearCorr,0.8294
GIGAWORD,128,12800,1638400,3,1,PearCorr,0.83
GIGAWORD,256,6400,1638400,3,1,PearCorr,0.8816
GIGAWORD,512,3200,1638400,3,1,PearCorr,0.911
GIGAWORD,8,204800,1638400,3,2,PearCorr,0.9917
GIGAWORD,16,102400,1638400,3,2,PearCorr,0.9802
GIGAWORD,32,51200,1638400,3,2,PearCorr,0.9706
GIGAWORD,64,25600,1638400,3,2,PearCorr,0.8668
GIGAWORD,128,12800,1638400,3,2,PearCorr,0.8282
GIGAWORD,256,6400,1638400,3,2,PearCorr,0.8817
GIGAWORD,512,3200,1638400,3,2,PearCorr,0.9103
GIGAWORD,8,204800,1638400,3,3,PearCorr,0.9913
GIGAWORD,16,102400,1638400,3,3,PearCorr,0.9787
GIGAWORD,32,51200,1638400,3,3,PearCorr,0.9699
GIGAWORD,64,25600,1638400,3,3,PearCorr,0.9275
GIGAWORD,128,12800,1638400,3,3,PearCorr,0.9124
GIGAWORD,256,6400,1638400,3,3,PearCorr,0.8822
GIGAWORD,512,3200,1638400,3,3,PearCorr,0.9084
GIGAWORD,8,204800,1638400,3,4,PearCorr,0.9903
GIGAWORD,16,102400,1638400,3,4,PearCorr,0.9781
GIGAWORD,32,51200,1638400,3,4,PearCorr,0.9684
GIGAWORD,64,25600,1638400,3,4,PearCorr,0.924
GIGAWORD,128,12800,1638400,3,4,PearCorr,0.9112
GIGAWORD,256,6400,1638400,3,4,PearCorr,0.8863
GIGAWORD,512,3200,1638400,3,4,PearCorr,0.9114
GIGAWORD,8,204800,1638400,3,5,PearCorr,0.9892
GIGAWORD,16,102400,1638400,3,5,PearCorr,0.9759
GIGAWORD,32,51200,1638400,3,5,PearCorr,0.9691
GIGAWORD,64,25600,1638400,3,5,PearCorr,0.9204
GIGAWORD,128,12800,1638400,3,5,PearCorr,0.9112
GIGAWORD,256,6400,1638400,3,5,PearCorr,0.8912
GIGAWORD,512,3200,1638400,3,5,PearCorr,0.9103
GIGAWORD,8,204800,1638400,4,1,PearCorr,0.9907
GIGAWORD,16,102400,1638400,4,1,PearCorr,0.9809
GIGAWORD,32,51200,1638400,4,1,PearCorr,0.9217
GIGAWORD,64,25600,1638400,4,1,PearCorr,0.869
GIGAWORD,128,12800,1638400,4,1,PearCorr,0.8638
GIGAWORD,256,6400,1638400,4,1,PearCorr,0.9171
GIGAWORD,512,3200,1638400,4,1,PearCorr,0.8859
GIGAWORD,8,204800,1638400,4,2,PearCorr,0.9905
GIGAWORD,16,102400,1638400,4,2,PearCorr,0.9805
GIGAWORD,32,51200,1638400,4,2,PearCorr,0.9377
GIGAWORD,64,25600,1638400,4,2,PearCorr,0.8685
GIGAWORD,128,12800,1638400,4,2,PearCorr,0.8972
GIGAWORD,256,6400,1638400,4,2,PearCorr,0.9139
GIGAWORD,512,3200,1638400,4,2,PearCorr,0.8859
GIGAWORD,8,204800,1638400,4,3,PearCorr,0.9866
GIGAWORD,16,102400,1638400,4,3,PearCorr,0.9793
GIGAWORD,32,51200,1638400,4,3,PearCorr,0.9353
GIGAWORD,64,25600,1638400,4,3,PearCorr,0.9211
GIGAWORD,128,12800,1638400,4,3,PearCorr,0.901
GIGAWORD,256,6400,1638400,4,3,PearCorr,0.9152
GIGAWORD,512,3200,1638400,4,3,PearCorr,0.8859
GIGAWORD,8,204800,1638400,4,4,PearCorr,0.9834
GIGAWORD,16,102400,1638400,4,4,PearCorr,0.9786
GIGAWORD,32,51200,1638400,4,4,PearCorr,0.932
GIGAWORD,64,25600,1638400,4,4,PearCorr,0.9112
GIGAWORD,128,12800,1638400,4,4,PearCorr,0.902
GIGAWORD,256,6400,1638400,4,4,PearCorr,0.9146
GIGAWORD,512,3200,1638400,4,4,PearCorr,0.8859
GIGAWORD,8,204800,1638400,4,5,PearCorr,0.9805
GIGAWORD,16,102400,1638400,4,5,PearCorr,0.9767
GIGAWORD,32,51200,1638400,4,5,PearCorr,0.9351
GIGAWORD,64,25600,1638400,4,5,PearCorr,0.91
GIGAWORD,128,12800,1638400,4,5,PearCorr,0.8986
GIGAWORD,256,6400,1638400,4,5,PearCorr,0.9149
GIGAWORD,512,3200,1638400,4,5,PearCorr,0.8859
GIGAWORD,8,204800,1638400,5,1,PearCorr,0.9891
GIGAWORD,16,102400,1638400,5,1,PearCorr,0.95
GIGAWORD,32,51200,1638400,5,1,PearCorr,0.9209
GIGAWORD,64,25600,1638400,5,1,PearCorr,0.8869
GIGAWORD,128,12800,1638400,5,1,PearCorr,0.9048
GIGAWORD,256,6400,1638400,5,1,PearCorr,0.9002
GIGAWORD,512,3200,1638400,5,1,PearCorr,0.8742
GIGAWORD,8,204800,1638400,5,2,PearCorr,0.9888
GIGAWORD,16,102400,1638400,5,2,PearCorr,0.9494
GIGAWORD,32,51200,1638400,5,2,PearCorr,0.9365
GIGAWORD,64,25600,1638400,5,2,PearCorr,0.8825
GIGAWORD,128,12800,1638400,5,2,PearCorr,0.9033
GIGAWORD,256,6400,1638400,5,2,PearCorr,0.9002
GIGAWORD,512,3200,1638400,5,2,PearCorr,0.8742
GIGAWORD,8,204800,1638400,5,3,PearCorr,0.9864
GIGAWORD,16,102400,1638400,5,3,PearCorr,0.9466
GIGAWORD,32,51200,1638400,5,3,PearCorr,0.9306
GIGAWORD,64,25600,1638400,5,3,PearCorr,0.9101
GIGAWORD,128,12800,1638400,5,3,PearCorr,0.9023
GIGAWORD,256,6400,1638400,5,3,PearCorr,0.9002
GIGAWORD,512,3200,1638400,5,3,PearCorr,0.8742
GIGAWORD,8,204800,1638400,5,4,PearCorr,0.9832
GIGAWORD,16,102400,1638400,5,4,PearCorr,0.9461
GIGAWORD,32,51200,1638400,5,4,PearCorr,0.923
GIGAWORD,64,25600,1638400,5,4,PearCorr,0.9042
GIGAWORD,128,12800,1638400,5,4,PearCorr,0.9022
GIGAWORD,256,6400,1638400,5,4,PearCorr,0.9002
GIGAWORD,512,3200,1638400,5,4,PearCorr,0.8742
GIGAWORD,8,204800,1638400,5,5,PearCorr,0.9814
GIGAWORD,16,102400,1638400,5,5,PearCorr,0.9447
GIGAWORD,32,51200,1638400,5,5,PearCorr,0.9227
GIGAWORD,64,25600,1638400,5,5,PearCorr,0.9011
GIGAWORD,128,12800,1638400,5,5,PearCorr,0.9022
GIGAWORD,256,6400,1638400,5,5,PearCorr,0.9002
GIGAWORD,512,3200,1638400,5,5,PearCorr,0.8742
