dataset,ratio,max_data_num,predict_data_num,metric,method,value
WMT19,8,204800,1638400,PearCorr,AtS,0.9891
WMT19,8,204800,1638400,RelAcc,AtS,0.9909
WMT19,8,204800,1638400,PearCorr,VanillaFit,0.9444
WMT19,8,204800,1638400,RelAcc,VanillaFit,0.9962
WMT19,8,204800,1638400,PearCorr,OurFit,0.9498
WMT19,8,204800,1638400,RelAcc,OurFit,0.8494
WMT19,16,102400,1638400,PearCorr,AtS,0.9705
WMT19,16,102400,1638400,RelAcc,AtS,0.9909
WMT19,16,102400,1638400,PearCorr,VanillaFit,0.8373
WMT19,16,102400,1638400,RelAcc,VanillaFit,0.8067
WMT19,16,102400,1638400,PearCorr,OurFit,0.9362
WMT19,16,102400,1638400,RelAcc,OurFit,0.8494
WMT19,32,51200,1638400,PearCorr,AtS,0.9768
WMT19,32,51200,1638400,RelAcc,AtS,0.9962
WMT19,32,51200,1638400,PearCorr,VanillaFit,0.7956
WMT19,32,51200,1638400,RelAcc,VanillaFit,0.9962
WMT19,32,51200,1638400,PearCorr,OurFit,0.9108
WMT19,32,51200,1638400,RelAcc,OurFit,0.7855
WMT19,64,25600,1638400,PearCorr,AtS,0.8596
WMT19,64,25600,1638400,RelAcc,AtS,0.9909
WMT19,64,25600,1638400,PearCorr,VanillaFit,0.3094
WMT19,64,25600,1638400,RelAcc,VanillaFit,0.9909
WMT19,64,25600,1638400,PearCorr,OurFit,0.8392
WMT19,64,25600,1638400,RelAcc,OurFit,0.8177
WMT19,128,12800,1638400,PearCorr,AtS,0.7802
WMT19,128,12800,1638400,RelAcc,AtS,0.9909
WMT19,128,12800,1638400,PearCorr,VanillaFit,0.3525
WMT19,128,12800,1638400,RelAcc,VanillaFit,0.9909
WMT19,128,12800,1638400,PearCorr,OurFit,0.7889
WMT19,128,12800,1638400,RelAcc,OurFit,0.7855
WMT19,256,6400,1638400,PearCorr,AtS,0.7339
WMT19,256,6400,1638400,RelAcc,AtS,0.9909
WMT19,256,6400,1638400,PearCorr,VanillaFit,0.4108
WMT19,256,6400,1638400,RelAcc,VanillaFit,0.9909
WMT19,256,6400,1638400,PearCorr,OurFit,0.7286
WMT19,256,6400,1638400,RelAcc,OurFit,0.776
WMT19,512,3200,1638400,PearCorr,AtS,0.6145
WMT19,512,3200,1638400,RelAcc,AtS,0.9909
WMT19,512,3200,1638400,PearCorr,VanillaFit,0.5646
WMT19,512,3200,1638400,RelAcc,VanillaFit,0.9909
WMT19,512,3200,1638400,PearCorr,OurFit,0.6147
WMT19,512,3200,1638400,RelAcc,OurFit,0.776
GIGAWORD,8,204800,1638400,PearCorr,AtS,0.9892
GIGAWORD,8,204800,1638400,RelAcc,AtS,1.0
GIGAWORD,8,204800,1638400,PearCorr,VanillaFit,0.9512
GIGAWORD,8,204800,1638400,RelAcc,VanillaFit,1.0
GIGAWORD,8,204800,1638400,PearCorr,OurFit,0.9698
GIGAWORD,8,204800,1638400,RelAcc,OurFit,1.0
GIGAWORD,16,102400,1638400,PearCorr,AtS,0.9759
GIGAWORD,16,102400,1638400,RelAcc,AtS,0.9139
GIGAWORD,16,102400,1638400,PearCorr,VanillaFit,0.9284
GIGAWORD,16,102400,1638400,RelAcc,VanillaFit,1.0
GIGAWORD,16,102400,1638400,PearCorr,OurFit,0.907
GIGAWORD,16,102400,1638400,RelAcc,OurFit,1.0
GIGAWORD,32,51200,1638400,PearCorr,AtS,0.9691
GIGAWORD,32,51200,1638400,RelAcc,AtS,0.9433
GIGAWORD,32,51200,1638400,PearCorr,VanillaFit,0.9097
GIGAWORD,32,51200,1638400,RelAcc,VanillaFit,1.0
GIGAWORD,32,51200,1638400,PearCorr,OurFit,0.8835
GIGAWORD,32,51200,1638400,RelAcc,OurFit,1.0
GIGAWORD,64,25600,1638400,PearCorr,AtS,0.9204
GIGAWORD,64,25600,1638400,RelAcc,AtS,1.0
GIGAWORD,64,25600,1638400,PearCorr,VanillaFit,0.843
GIGAWORD,64,25600,1638400,RelAcc,VanillaFit,1.0
GIGAWORD,64,25600,1638400,PearCorr,OurFit,0.8362
GIGAWORD,64,25600,1638400,RelAcc,OurFit,0.9433
GIGAWORD,128,12800,1638400,PearCorr,AtS,0.9112
GIGAWORD,128,12800,1638400,RelAcc,AtS,0.9433
GIGAWORD,128,12800,1638400,PearCorr,VanillaFit,0.4728
GIGAWORD,128,12800,1638400,RelAcc,VanillaFit,0.9433
GIGAWORD,128,12800,1638400,PearCorr,OurFit,0.8364
GIGAWORD,128,12800,1638400,RelAcc,OurFit,0.9433
GIGAWORD,256,6400,1638400,PearCorr,AtS,0.8912
GIGAWORD,256,6400,1638400,RelAcc,AtS,0.9433
GIGAWORD,256,6400,1638400,PearCorr,VanillaFit,0.8581
GIGAWORD,256,6400,1638400,RelAcc,VanillaFit,0.9433
GIGAWORD,256,6400,1638400,PearCorr,OurFit,0.8153
GIGAWORD,256,6400,1638400,RelAcc,OurFit,0.8721
GIGAWORD,512,3200,1638400,PearCorr,AtS,0.9103
GIGAWORD,512,3200,1638400,RelAcc,AtS,0.9139
GIGAWORD,512,3200,1638400,PearCorr,VanillaFit,0.7928
GIGAWORD,512,3200,1638400,RelAcc,VanillaFit,0.873
GIGAWORD,512,3200,1638400,PearCorr,OurFit,0.7855
GIGAWORD,512,3200,1638400,RelAcc,OurFit,0.9139
FLAN,8,204800,1638400,PearCorr,AtS,0.9087
FLAN,8,204800,1638400,RelAcc,AtS,0.936
FLAN,8,204800,1638400,PearCorr,VanillaFit,0.3474
FLAN,8,204800,1638400,RelAcc,VanillaFit,0.3898
FLAN,8,204800,1638400,PearCorr,OurFit,0.7786
FLAN,8,204800,1638400,RelAcc,OurFit,1.0
FLAN,16,102400,1638400,PearCorr,AtS,0.7312
FLAN,16,102400,1638400,RelAcc,AtS,0.9318
FLAN,16,102400,1638400,PearCorr,VanillaFit,0.5815
FLAN,16,102400,1638400,RelAcc,VanillaFit,0.9318
FLAN,16,102400,1638400,PearCorr,OurFit,0.674
FLAN,16,102400,1638400,RelAcc,OurFit,1.0
FLAN,32,51200,1638400,PearCorr,AtS,0.6553
FLAN,32,51200,1638400,RelAcc,AtS,0.9318
FLAN,32,51200,1638400,PearCorr,VanillaFit,0.431
FLAN,32,51200,1638400,RelAcc,VanillaFit,0.9318
FLAN,32,51200,1638400,PearCorr,OurFit,0.5439
FLAN,32,51200,1638400,RelAcc,OurFit,1.0
FLAN,64,25600,1638400,PearCorr,AtS,0.6113
FLAN,64,25600,1638400,RelAcc,AtS,0.9318
FLAN,64,25600,1638400,PearCorr,VanillaFit,0.4669
FLAN,64,25600,1638400,RelAcc,VanillaFit,0.9074
FLAN,64,25600,1638400,PearCorr,OurFit,0.4761
FLAN,64,25600,1638400,RelAcc,OurFit,1.0
FLAN,128,12800,1638400,PearCorr,AtS,0.5218
FLAN,128,12800,1638400,RelAcc,AtS,0.8534
FLAN,128,12800,1638400,PearCorr,VanillaFit,0.4145
FLAN,128,12800,1638400,RelAcc,VanillaFit,0.9318
FLAN,128,12800,1638400,PearCorr,OurFit,0.5494
FLAN,128,12800,1638400,RelAcc,OurFit,0.8534
FLAN,256,6400,1638400,PearCorr,AtS,0.5054
FLAN,256,6400,1638400,RelAcc,AtS,0.9318
FLAN,256,6400,1638400,PearCorr,VanillaFit,0.4498
FLAN,256,6400,1638400,RelAcc,VanillaFit,0.8534
FLAN,256,6400,1638400,PearCorr,OurFit,0.4109
FLAN,256,6400,1638400,RelAcc,OurFit,0.8534
FLAN,512,3200,1638400,PearCorr,AtS,0.4556
FLAN,512,3200,1638400,RelAcc,AtS,0.9318
FLAN,512,3200,1638400,PearCorr,VanillaFit,0.2069
FLAN,512,3200,1638400,RelAcc,VanillaFit,0.9318
FLAN,512,3200,1638400,PearCorr,OurFit,0.3679
FLAN,512,3200,1638400,RelAcc,OurFit,0.8534
