dataset,model,our_rmsd_under_log,vanilla_rmsd_under_log
WMT19,MBZUAI/LaMini-GPT-124M,0.010791431034551812,0.11505189466893576
WMT19,MBZUAI/LaMini-GPT-774M,0.009296456322944045,0.1074165396205178
WMT19,MBZUAI/LaMini-GPT-1.5B,0.015017756541681073,0.13525179446457175
WMT19,cerebras/Cerebras-GPT-111M,0.009758041168722665,0.11293684763988715
WMT19,cerebras/Cerebras-GPT-256M,0.00946322552958086,0.08743407461722694
WMT19,cerebras/Cerebras-GPT-1.3B,0.013074058857585544,0.06182461438098128
WMT19,cerebras/Cerebras-GPT-2.7B,0.011397177850827545,0.012360191395230107
WMT19,facebook/bart-base,0.020142694368373217,0.10746514496424894
WMT19,facebook/bart-large,0.012251863895143851,0.10698653254837964
WMT19,facebook/bart-large-cnn,0.011512108207076347,0.07469686852795297
WMT19,facebook/bart-large-xsum,0.00891731729206197,0.10108787075410731
WMT19,facebook/opt-1.3b,0.015026253555942363,0.07087620125991213
WMT19,facebook/opt-2.7b,0.02287189486768203,0.060206333152488196
WMT19,facebook/opt-350m,0.01353780455771593,0.08477516731259396
WMT19,facebook/opt-6.7b,0.0073499170719159655,0.008952145197373435
WMT19,gpt2-large,0.015249810915701375,0.08927858932002367
WMT19,gpt2-medium,0.005939301440407443,0.09913098042201053
WMT19,gpt2,0.008894115309187425,0.10071976368706236
WMT19,gpt2-xl,0.04102342615559711,0.1280886227777873
WMT19,t5-base,0.014381823168575945,0.015115041851839742
WMT19,t5-small,0.013458102111904121,0.014128306440052989
WMT19,microsoft/phi-2,0.010140500435117153,0.031742277116985365
WMT19,microsoft/phi-1_5,0.010970534948284033,0.03655809388741555
WMT19,google/switch-base-16,0.015438153727729168,0.01714554394505368
WMT19,google/switch-base-32,0.004826116118806461,0.005778070417573714
WMT19,google/switch-base-8,0.00975054635349857,0.01039734146121359
WMT19,google/mt5-base,0.006646807968879879,0.015473838811810428
WMT19,google/mt5-large,0.004519851627925528,0.02492831875334329
WMT19,ai-forever/mGPT,0.004920529593089816,0.01532369909087571
WMT19,google/t5-v1_1-base,0.011738843239892108,0.035846125505289775
GIGAWORD,MBZUAI/LaMini-GPT-124M,0.0036876317381303366,0.019773786022022146
GIGAWORD,MBZUAI/LaMini-GPT-774M,0.00185528880446627,0.007375549886446972
GIGAWORD,MBZUAI/LaMini-GPT-1.5B,0.0063421494938675875,0.01040381829800942
GIGAWORD,cerebras/Cerebras-GPT-111M,0.0037783020906708683,0.021915167546758728
GIGAWORD,cerebras/Cerebras-GPT-256M,0.002248045135478168,0.013748252364238031
GIGAWORD,cerebras/Cerebras-GPT-1.3B,0.00478322188491554,0.01590954377764782
GIGAWORD,cerebras/Cerebras-GPT-2.7B,0.002019933021309724,0.0021941340042111166
GIGAWORD,facebook/bart-base,0.019435334856749163,0.024661694445816895
GIGAWORD,facebook/bart-large,0.005489207197993253,0.006824548206360643
GIGAWORD,facebook/bart-large-cnn,0.00529610960056453,0.005861505378095488
GIGAWORD,facebook/bart-large-xsum,0.003943279617761171,0.004625187198804673
GIGAWORD,facebook/opt-1.3b,0.0024062873325921843,0.0033709143768198536
GIGAWORD,facebook/opt-2.7b,0.0012012412021127886,0.0017737796239005246
GIGAWORD,facebook/opt-350m,0.004516682967329999,0.00547987571616932
GIGAWORD,facebook/opt-6.7b,0.00280530866030872,0.0030131171366872436
GIGAWORD,gpt2-large,0.00350202265542766,0.00760003391165823
GIGAWORD,gpt2-medium,0.0019790827129243403,0.0044224933696803345
GIGAWORD,gpt2,0.002955990107781153,0.019000630742769992
GIGAWORD,gpt2-xl,0.00468989820876428,0.010356944730627048
GIGAWORD,t5-base,0.0026021338813943117,0.013380882646104878
GIGAWORD,t5-small,0.00791636310970939,0.023514129357704628
GIGAWORD,microsoft/phi-2,0.0040281258260574885,0.00485932335622189
GIGAWORD,microsoft/phi-1_5,0.002874883314944021,0.0029995685473632617
GIGAWORD,google/switch-base-32,0.01087924373175577,0.013179439737651054
GIGAWORD,google/switch-base-16,0.008219558515134635,0.007423179858653536
GIGAWORD,google/switch-base-8,0.009622816292217852,0.010997814078808336
GIGAWORD,google/mt5-base,0.005545363055220974,0.027674302616401244
GIGAWORD,google/mt5-large,0.0024410689058541545,0.0070586576746885
GIGAWORD,ai-forever/mGPT,0.011922761521495797,0.011945304082976204
GIGAWORD,google/t5-v1_1-base,0.0056225736316497105,0.005637057890115866
FLAN,MBZUAI/LaMini-GPT-124M,0.0027011407095312726,0.06792394098775797
FLAN,MBZUAI/LaMini-GPT-774M,0.005389113167900476,0.06378625579927402
FLAN,MBZUAI/LaMini-GPT-1.5B,0.005534526825223082,0.06429037730063933
FLAN,cerebras/Cerebras-GPT-111M,0.009593385333374675,0.06005438109168347
FLAN,cerebras/Cerebras-GPT-256M,0.010475016584568203,0.051695327413270147
FLAN,cerebras/Cerebras-GPT-1.3B,0.0037684815197391265,0.018778902055472762
FLAN,cerebras/Cerebras-GPT-2.7B,0.0030186519005970824,0.0033047060717959495
FLAN,facebook/bart-base,0.007265976626215464,0.05057271066863968
FLAN,facebook/bart-large,0.012897612644353955,0.03878341550994435
FLAN,facebook/bart-large-cnn,0.011470496883492255,0.011376211215829768
FLAN,facebook/bart-large-xsum,0.00903191822890851,0.03571292867512329
FLAN,facebook/opt-1.3b,0.0023992537843375624,0.016444422145678567
FLAN,facebook/opt-2.7b,0.005164074840614122,0.007182603656798819
FLAN,facebook/opt-350m,0.007779948775285248,0.04778193263704806
FLAN,facebook/opt-6.7b,0.00246394293766044,0.0026185334715867377
FLAN,gpt2-large,0.005628139582722054,0.05931234870949151
FLAN,gpt2-medium,0.0037670066285604652,0.06764566909000982
FLAN,gpt2,0.0074741701986837,0.0697230820202339
FLAN,gpt2-xl,0.006388801321627106,0.06136795484378693
FLAN,t5-base,0.007843494820905482,0.03163043923075582
FLAN,t5-small,0.0038543775407403873,0.024074787070868624
FLAN,microsoft/phi-2,0.006046865572469192,0.0197105206605988
FLAN,microsoft/phi-1_5,0.01124510548194899,0.03633078514998185
FLAN,google/switch-base-16,0.008805227423259017,0.028352723945111166
FLAN,google/switch-base-32,0.010260600298484902,0.030677351675467906
FLAN,google/switch-base-8,0.007315168260846359,0.029786284011905365
FLAN,google/mt5-base,0.0035455124866919053,0.013649086281438605
FLAN,google/mt5-large,0.0027497317819082144,0.01186362936241904
FLAN,ai-forever/mGPT,0.0035159942485458607,0.00502478285598018
FLAN,google/t5-v1_1-base,0.006946597785058163,0.04555419184434036
